id,countryname,station,img,url
1,Afghanistan,Afghan Radio ,http://www.liveonlineradio.net/wp-content/uploads/2017/11/Afghan-Radio.jpg,https://streaming.radionomy.com/afghan-radio--station?lang=en-US&ad=radiono5&extReferer=http%3a%2f%2fwww.paktika1.com%2f&appName=website
2,Afghanistan,Arakozia FM ,http://www.liveonlineradio.net/wp-content/uploads/2015/04/Arakozia-FM.jpg,http://158.69.225.238:4723/;stream.mp3
3,Afghanistan,Ariana FM ,http://www.liveonlineradio.net/wp-content/uploads/2015/04/Ariana-FM.jpg,http://stereo.wavestreamer.com:3467/1/;
4,Afghanistan,Arman FM ,http://www.liveonlineradio.net/wp-content/uploads/2014/02/Arman-FM.jpg,http://158.69.225.238:3953/Live
5,Afghanistan,ATN News FM ,http://www.liveonlineradio.net/wp-content/uploads/2018/03/ATN-News-FM.jpg,http://knight.wavestreamer.com:9820/stream/1/
6,Afghanistan,BBC Pashto ,http://www.liveonlineradio.net/wp-content/uploads/2017/08/BBC-Pashto.jpg,http://bbcwssc.ic.llnwd.net/stream/bbcwssc_mp1_ws-pasha
7,Afghanistan,Hamsada Afghan Radio ,http://www.liveonlineradio.net/wp-content/uploads/2017/07/Hamsada-Afghan-Radio.jpg,http://50.7.77.114:8416/;?.mp3
8,Afghanistan,Haqiqat FM ,http://www.liveonlineradio.net/wp-content/uploads/2017/11/Haqiqat-FM.jpg,http://192.99.17.12:4552/stream
9,Afghanistan,Radio Afghanistan ,http://www.liveonlineradio.net/wp-content/uploads/2017/11/Radio-Afghanistan.jpg,http://cast5.servcast.net:8072/stream&lang=auto&codec=mp3&volume=75&tracking=false&skin=http://cast5.servcast.net:2199/muses/muses-mcclean.xml&title=Radio%20Afghanistan&jsevents=false&welcome=&introurl=&autoplay=false&buffering=5
10,Afghanistan,Radio Armaghan ,http://www.liveonlineradio.net/wp-content/uploads/2018/05/Radio-Armaghan.jpg,http://50.22.218.73/stream.mp3?ipport=50.22.218.73_25835#;rnd=1103
11,Afghanistan,Radio Kabul ,http://www.liveonlineradio.net/wp-content/uploads/2017/08/Radio-Kabul.jpg,http://cast5.servcast.net:8068/stream&lang=auto&codec=mp3&volume=75&tracking=false&skin=http://cast5.servcast.net:2199/muses/muses-mcclean.xml&title=Radio%20Afghanistan&jsevents=false&welcome=&introurl=&autoplay=false&buffering=5
12,Afghanistan,Radio Killid ,http://www.liveonlineradio.net/wp-content/uploads/2015/04/Radio-Killid.jpg,http://s1.voscast.com:7886/;
13,Afghanistan,Radio Salam Watandar ,http://www.liveonlineradio.net/wp-content/uploads/2015/04/Radio-Salam-Watandar.jpg,http://s10.myradiostream.com:12238/;
14,Afghanistan,Radio Srood ,http://www.liveonlineradio.net/wp-content/uploads/2016/05/Radio-Srood.jpg,http://stream.radiosrood.com:8000/live?type=.mp3
15,Afghanistan,RANA FM ,http://www.liveonlineradio.net/wp-content/uploads/2018/03/RANA-FM.jpg,http://216.221.73.213:8000/;
16,Afghanistan,RTA Radio ,http://www.liveonlineradio.net/wp-content/uploads/2015/04/RTA-Radio.jpg,http://107.190.139.204:9316/;
17,Afghanistan,Spogmai Radio ,http://www.liveonlineradio.net/wp-content/uploads/2016/02/Spogmai-Radio.jpg,http://78.129.190.50:19341/;stream1
18,Afghanistan,Taleemul Islam Farah ,http://www.liveonlineradio.net/wp-content/uploads/2018/03/Taleemul-Islam-Farah.jpg,http://listen.shoutcast.com/taleemulislamfarah
19,Afghanistan,Taleemul Islam Radio ,http://www.liveonlineradio.net/wp-content/uploads/2017/11/Taleemul-Islam-Radio.jpg,https://streaming.shoutcast.com/TaleemulIslamRadio
20,Afghanistan,Taleemul Quran Radio ,http://www.liveonlineradio.net/wp-content/uploads/2016/11/Taleemul-Quran-Radio.jpg,http://aradio.aryanict.com:9332/;
21,Afghanistan,Zamzama FM 92.3 ,http://www.liveonlineradio.net/wp-content/uploads/2017/11/Zamzama-FM-92.3.jpg,http://sv1.vestaradio.com:8220/;
22,Africa,102.3 KISS FM ,http://www.liveonlineradio.net/wp-content/uploads/2017/05/102.3-KISS-FM.jpg,http://178.obj.netromedia.com:8000/kissfm
23,Africa,237Xclusive Radio ,http://www.liveonlineradio.net/wp-content/uploads/2017/03/237-Xclusive.jpg,http://stream.radio.co/s192a79925/listen
24,Africa,Alrabaa 94 FM ,http://www.liveonlineradio.net/wp-content/uploads/2016/11/Alrabaa-94-FM.jpg,http://108.163.197.114:8055/;
25,Africa,Androdesias Live Radio ,http://www.liveonlineradio.net/wp-content/uploads/2017/11/Androdesias-Live-Radio.jpg,http://eu6.fastcast4u.com:5236/;
26,Africa,AYWA FM ,http://www.liveonlineradio.net/wp-content/uploads/2018/01/AYWA-FM.jpg,http://142.4.217.133:8871/;
27,Africa,Capital Radio Freetown ,http://www.liveonlineradio.net/wp-content/uploads/2017/12/Capital-Radio-Freetown.jpg,http://edge-audio-01-cr.sharp-stream.com/capitalradiosl.mp3?i=capitalradiosl.mp3
